instruNet waves in merged TEXT form #2

Notes:	
Date & Time:	01/20/2020	17:38:52
ChanName:	Ch1 Vin+	Ch4 Vin+
UserName:	Ch1 Vin+	Ch4 Vin+
vUnits:	Volts	Volts
hUnits:	Secs	Secs
PtsPerScan:	0000010000	0000010000
NumScansBeforeLastScan:	0000000000	0000000000
PtsInLastScan:	0000010000	0000010000
1stPtTime:	+0.000000000e+000	+0.000000000e+000
SamplePeriod:	+2.000000000e-001	+2.000000000e-001
netNum:	01	01
devNum:	01	01
modNum:	01	01
chNum:	001	004
BytesPerRow:	-1	-1
FirstDataByte:	-1	-1
key:	21940	21940
1904secs:	3662402482	3662402482
DataType:	+05	+05
Internal1:	+5.000000000e+000	+5.000000000e+000
External1:	+5.000000000e+000	+5.000000000e+000
Internal2:	-5.000000000e+000	-5.000000000e+000
External2:	-5.000000000e+000	-5.000000000e+000
Secs	Ch1 Vin+	Ch4 Vin+
+0.0000000e+0	+1.0811775e+0	+0.1409364e-2
+0.2000000e+0	+1.0891123e+0	+0.1385580e-2
+0.4000000e+0	+1.0823982e+0	+0.1389148e-2
+0.6000000e+0	+1.0878916e+0	+0.1380823e-2
+0.8000000e+0	+1.0909435e+0	+0.1376067e-2
+1.0000000e+0	+1.0823982e+0	+0.1382013e-2
+1.2000000e+0	+1.0817878e+0	+0.1379634e-2
+1.4000000e+0	+1.0726322e+0	+0.1373688e-2
+1.6000000e+0	+1.0799567e+0	+0.1365364e-2
+1.8000000e+0	+1.0744634e+0	+0.1370121e-2
+2.0000000e+0	+1.0903330e+0	+0.1379634e-2
+2.2000000e+0	+1.0946057e+0	+0.1365364e-2
+2.4000000e+0	+1.0885019e+0	+0.1401040e-2
+2.6000000e+0	+1.0762944e+0	+0.1362985e-2
+2.8000000e+0	+1.0878916e+0	+0.1386769e-2
+3.0000000e+0	+1.0634767e+0	+0.1370121e-2
+3.2000000e+0	+1.0891123e+0	+0.1396283e-2
+3.4000000e+0	+1.1074234e+0	+0.1428391e-2
+3.6000000e+0	+1.0976574e+0	+0.1370121e-2
+3.8000000e+0	+1.0836189e+0	+0.1370121e-2
+4.0000000e+0	+1.0933849e+0	+0.1402229e-2
+4.2000000e+0	+1.0854501e+0	+0.1382013e-2
+4.4000000e+0	+1.0830085e+0	+0.1365364e-2
+4.6000000e+0	+1.0970471e+0	+0.1372499e-2
+4.8000000e+0	+1.0897226e+0	+0.1367742e-2
+5.0000000e+0	+1.0903330e+0	+0.1392715e-2
+5.2000000e+0	+1.1031508e+0	+0.1364175e-2
+5.4000000e+0	+1.0994886e+0	+0.1382013e-2
+5.6000000e+0	+1.0927745e+0	+0.1362985e-2
+5.8000000e+0	+1.0982679e+0	+0.1362985e-2
+6.0000000e+0	+1.0854501e+0	+0.1371310e-2
+6.2000000e+0	+1.0891123e+0	+0.1386769e-2
+6.4000000e+0	+1.0946057e+0	+0.1386769e-2
+6.6000000e+0	+1.1019301e+0	+0.1382013e-2
+6.8000000e+0	+1.1025405e+0	+0.1345148e-2
+7.0000000e+0	+1.0988783e+0	+0.1390337e-2
+7.2000000e+0	+1.1049820e+0	+0.1382013e-2
+7.4000000e+0	+1.0842294e+0	+0.1382013e-2
+7.6000000e+0	+1.0915538e+0	+0.1353472e-2
+7.8000000e+0	+1.1019301e+0	+0.1384391e-2
+8.0000000e+0	+1.0872811e+0	+0.1378445e-2
+0.8200000e+1	+1.0823982e+0	+0.1371310e-2
+0.8400000e+1	+1.0939952e+0	+0.1362985e-2
+0.8600000e+1	+1.0921642e+0	+0.1386769e-2
+0.8800000e+1	+1.0854501e+0	+0.1396283e-2
+0.9000000e+1	+1.0988783e+0	+0.1351094e-2
+0.9200000e+1	+1.0939952e+0	+0.1401040e-2
+0.9400000e+1	+1.0769048e+0	+0.1362985e-2
+0.9600000e+1	+1.0823982e+0	+0.1370121e-2
+0.9800000e+1	+1.0872811e+0	+0.1392715e-2
+1.0000000e+1	+1.0811775e+0	+0.1403418e-2
+1.0200000e+1	+1.0946057e+0	+0.1421256e-2
